station,zone ,Wheelechair Access
West Finchley ,4,Street to Platform
West Ham ,"2,3",Street to Train
West Hamstead ,2,
West Harrow ,5,
West Kensington ,2,
West Ruislip ,5,
Westbourne Park ,2,
Westminster ,1,Street to Train
White City ,2,
Whitechapel ,2,
Willesden Green ,"2,3",
Willesden Junction,"2,3",Street to Platform
Wimbledon ,3,Street to Train
Wimbledon Park ,3,Street to Train
Wood Green ,3,
Wood Lane ,2,Street to Platform
Woodford ,4,Street to Platform
Woodside Park ,4,Street to Train
